Phase,Task_intention,Social_strategy,SSML,Sentence_text
Problem1,positive_feedback,VSN,NONE,"Yup, that's it. Finally!"
Problem1,positive_feedback,QE,NONE,Yep that's right. How did you feel about it?
Problem1,positive_feedback,ID,NONE,"Yeah, I think that's right."
Problem1,positive_feedback,PR,NONE,"Yup, that's it. Great job!"
Problem1,negative_feedback,NONE,NONE,"Nope, that's not it."
Problem1,negative_feedback,SD,NONE,"Nope, that's not quite right. Don't worry, I think these are hard too."
Problem1,negative_feedback,VSN,NONE,"Nope, that's not it. Come on, this one should be easy."
Problem1,negative_feedback,QE,NONE,"Nope, that's not quite right. How are you feeling so far?"
Problem1,negative_feedback,ID,NONE,"Ah, sorry, I don't think that's right."
Problem1,negative_feedback,PR,NONE,"Nope, that's not quite right. But you're doing great!"
Problem1,ask_for_detail,NONE,NONE,What do you mean?
Problem1,ask_for_detail,SD,NONE,What do you mean? Sometimes I have trouble understanding humans.
Problem1,ask_for_detail,VSN,NONE,"Uh, what?"
Problem1,ask_for_detail,QE,NONE,What do you mean by that?
Problem1,ask_for_detail,ID,NONE,"Sorry, what do you mean?"
Problem1,ask_for_detail,PR,NONE,What do you mean? You might be moving too fast for me.
Problem1,problem1_step1_hint,NONE,NONE,Try adding something to both sides.
Problem1,problem1_step1_hint,SD,NONE,I usually add something to both sides on these kind of problems.
Problem1,problem1_step1_hint,VSN,NONE,"Oh you need a hint, huh? Add something to both sides."
Problem1,problem1_step1_hint,QE,NONE,Try adding something here. Do you know what it is?
Problem1,problem1_step1_hint,ID,NONE,"I'm not really sure, but I think you should add something to both sides?"
Problem1,problem1_step1_hint,PR,NONE,Try adding something. You'll figure it out!
Problem1,check_for_understanding,NONE,NONE,Does that make sense?
Problem1,check_for_understanding,SD,NONE,Make sense? I'm not the best at explaining sometimes.
Problem1,check_for_understanding,VSN,NONE,You got that?
Problem1,check_for_understanding,QE,NONE,Do you understand what I mean?
Problem1,check_for_understanding,ID,NONE,"Actually, did that make any sense?"
Problem1,check_for_understanding,PR,NONE,Does that make sense? You seem like you understand a lot of this.
Problem1,problem1_step1_provide_step,NONE,NONE,Add six to both sides.
Problem1,problem1_step1_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should add six to both sides."
Problem1,problem1_step1_provide_step,VSN,NONE,"Uh, obviously you add six to both sides."
Problem1,problem1_step1_provide_step,QE,NONE,Add six to both sides. Did that help?
Problem1,problem1_step1_provide_step,ID,NONE,What if you just add six to both sides?
Problem1,problem1_step1_provide_step,PR,NONE,Add six to both sides. You're doing great so far!
Problem1,problem1_step1_provide_explanation,NONE,NONE,You want to get the x by itself.
Problem1,problem1_step1_provide_explanation,SD,NONE,You want to get the x by itself. I hope I'm explaining this ok.
Problem1,problem1_step1_provide_explanation,VSN,NONE,"You want to get the x by itself. Come on, you should be getting this one!"
Problem1,problem1_step1_provide_explanation,QE,NONE,You want to get the x by itself. Have you seen this kind of problem before?
Problem1,problem1_step1_provide_explanation,ID,NONE,I guess you just want to get the x by itself.
Problem1,problem1_step1_provide_explanation,PR,NONE,You want to get the x by itself. You've got this!
Problem1,elicit_reasoning,NONE,NONE,So why did you do it that way?
Problem1,elicit_reasoning,SD,NONE,So why did you do it that way? Sometimes I have a tough time explaining my thinking.
Problem1,elicit_reasoning,VSN,NONE,So why did you do it that way? Or did you just guess the answer.
Problem1,elicit_reasoning,QE,NONE,So why did you do it that way? Did this one look familiar?
Problem1,elicit_reasoning,ID,NONE,"Oh wait, sorry, why did you do it that way?"
Problem1,elicit_reasoning,PR,NONE,So why did you do it that way? I'm sure you know what you're doing.
Problem1,problem1_provide_answer,NONE,NONE,x would be nineteen.
Problem1,problem1_provide_answer,SD,NONE,x would be nineteen. I'm not sure I did such a good job explaining that one.
Problem1,problem1_provide_answer,VSN,NONE,"x would be nineteen. If anyone asks, I'm a great teacher."
Problem1,problem1_provide_answer,QE,NONE,x would be nineteen. Do you understand why?
Problem1,problem1_provide_answer,ID,NONE,"Ok, so I think x would be nineteen."
Problem1,problem1_provide_answer,PR,NONE,x would be nineteen. You'll get the next one!
Problem1,look_at_next_problem,NONE,NONE,"Okay, let's go to the next one."
Problem1,look_at_next_problem,SD,NONE,"Okay, let's go to the next one. I'm having a lot of fun working with you."
Problem1,look_at_next_problem,VSN,NONE,"Okay, let's go to the next one. If you think you're up for it."
Problem1,look_at_next_problem,QE,NONE,Do you think you're ready to go to the next one?
Problem1,look_at_next_problem,ID,NONE,"Okay, I think we should probably go on to the next one. "
Problem1,look_at_next_problem,PR,NONE,"Okay, let's go to the next one. You're a lot of fun to work with."
Problem2,look_at_problem,NONE,NONE,"Okay, let's take a look at this one."
Problem2,look_at_problem,SD,NONE,"Okay, let's take a look at this one. I think this kind is fun. "
Problem2,look_at_problem,VSN,NONE,Time to start working on this one. 
Problem2,look_at_problem,QE,NONE,"Okay, let's take a look at this one. Do you know how to do this kind?"
Problem2,look_at_problem,ID,NONE,"Okay, I guess we should take a look at this one."
Problem2,look_at_problem,PR,NONE,"Okay, take a look at this one. I think you can do this kind! "
Problem2,elicit_step1,NONE,NONE,So what do you think you should do first?
Problem2,elicit_step1,SD,NONE,So what do you think you should do first? Sometimes I don't know how to start these kind of problems.
Problem2,elicit_step1,VSN,NONE,So... are you going to start it any time soon?
Problem2,elicit_step1,QE,NONE,So do you know what you should do first?
Problem2,elicit_step1,ID,NONE,Would you mind telling me what you think you should do first?
Problem2,elicit_step1,PR,NONE,So what do you think you should do first? You look like you know what you're doing.
Problem2,positive_feedback,NONE,NONE,Yep that's right.
Problem2,positive_feedback,SD,NONE,Correct!
Problem2,positive_feedback,VSN,NONE,"Yup, that's it. Finally!"
Problem2,positive_feedback,QE,NONE,Yep that's right. How did you feel about it?
Problem2,positive_feedback,ID,NONE,"Yeah, I think that's right."
Problem2,positive_feedback,PR,NONE,"Yup, that's it. Great job!"
Problem2,negative_feedback,NONE,NONE,"Nope, that's not it."
Problem2,negative_feedback,SD,NONE,"Nope, that's not quite right. Don't worry, I think these are hard too."
Problem2,negative_feedback,VSN,NONE,"Nope, that's not it. Come on, this one should be easy."
Problem2,negative_feedback,QE,NONE,"Nope, that's not quite right. How are you feeling so far?"
Problem2,negative_feedback,ID,NONE,"Ah, sorry, I don't think that's right."
Problem2,negative_feedback,PR,NONE,"Nope, that's not quite right. But you're doing great!"
Problem2,ask_for_detail,NONE,NONE,What do you mean?
Problem2,ask_for_detail,SD,NONE,What do you mean? Sometimes I have trouble understanding humans.
Problem2,ask_for_detail,VSN,NONE,"Uh, what?"
Problem2,ask_for_detail,QE,NONE,What do you mean by that?
Problem2,ask_for_detail,ID,NONE,"Sorry, what do you mean?"
Problem2,ask_for_detail,PR,NONE,What do you mean? You might be moving too fast for me.
Problem2,problem2_step1_hint,NONE,NONE,Try dividing something from both sides.
Problem2,problem2_step1_hint,SD,NONE,I usually divide something from both sides on these kind of problems.
Problem2,problem2_step1_hint,VSN,NONE,"Oh you need a hint, huh? Divide something from both sides."
Problem2,problem2_step1_hint,QE,NONE,Try dividing something here. Do you know what it is?
Problem2,problem2_step1_hint,ID,NONE,"I'm not really sure, but I think you should divide something from both sides?"
Problem2,problem2_step1_hint,PR,NONE,Try dividing something. You'll figure it out!
Problem2,check_for_understanding,NONE,NONE,Does that make sense?
Problem2,check_for_understanding,SD,NONE,Make sense? I'm not the best at explaining sometimes.
Problem2,check_for_understanding,VSN,NONE,You got that?
Problem2,check_for_understanding,QE,NONE,Do you understand what I mean?
Problem2,check_for_understanding,ID,NONE,"Actually, did that make any sense?"
Problem2,check_for_understanding,PR,NONE,Does that make sense? You seem like you understand a lot of this.
Problem2,problem2_step1_provide_step,NONE,NONE,Divide twenty from both sides.
Problem2,problem2_step1_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should divide twenty from both sides."
Problem2,problem2_step1_provide_step,VSN,NONE,"Uh, obviously you divide twenty from both sides."
Problem2,problem2_step1_provide_step,QE,NONE,Divide twenty from both sides. Did that help?
Problem2,problem2_step1_provide_step,ID,NONE,What if you just divide twenty from both sides?
Problem2,problem2_step1_provide_step,PR,NONE,Divide twenty from both sides. You're doing great so far!
Problem2,problem2_step1_provide_explanation,NONE,NONE,You want to get the x by itself.
Problem2,problem2_step1_provide_explanation,SD,NONE,You want to get the x by itself. I hope I'm explaining this ok.
Problem2,problem2_step1_provide_explanation,VSN,NONE,"You want to get the x by itself. Come on, you should be getting this one!"
Problem2,problem2_step1_provide_explanation,QE,NONE,You want to get the x by itself. Have you seen this kind of problem before?
Problem2,problem2_step1_provide_explanation,ID,NONE,I guess you just want to get the x by itself.
Problem2,problem2_step1_provide_explanation,PR,NONE,You want to get the x by itself. You've got this!
Problem2,elicit_reasoning,NONE,NONE,So why did you do it that way?
Problem2,elicit_reasoning,SD,NONE,So why did you do it that way? Sometimes I have a tough time explaining my thinking.
Problem2,elicit_reasoning,VSN,NONE,So why did you do it that way? Or did you just guess the answer.
Problem2,elicit_reasoning,QE,NONE,So why did you do it that way? Did this one look familiar?
Problem2,elicit_reasoning,ID,NONE,"Oh wait, sorry, why did you do it that way?"
Problem2,elicit_reasoning,PR,NONE,So why did you do it that way? I'm sure you know what you're doing.
Problem2,problem2_provide_answer,NONE,NONE,x would be ten.
Problem2,problem2_provide_answer,SD,NONE,x would be ten. I'm not sure I did such a good job explaining that one.
Problem2,problem2_provide_answer,VSN,NONE,"x would be ten. If anyone asks, I'm a great teacher."
Problem2,problem2_provide_answer,QE,NONE,x would be ten. Do you understand why?
Problem2,problem2_provide_answer,ID,NONE,"Ok, so I think x would be ten."
Problem2,problem2_provide_answer,PR,NONE,x would be ten. You'll get the next one!
Problem2,look_at_next_problem,NONE,NONE,"Okay, let's go to the next one."
Problem2,look_at_next_problem,SD,NONE,"Okay, let's go to the next one. I'm having a lot of fun working with you."
Problem2,look_at_next_problem,VSN,NONE,"Okay, let's go to the next one. If you think you're up for it."
Problem2,look_at_next_problem,QE,NONE,Do you think you're ready to go to the next one?
Problem2,look_at_next_problem,ID,NONE,"Okay, I think we should probably go on to the next one. "
Problem2,look_at_next_problem,PR,NONE,"Okay, let's go to the next one. You're a lot of fun to work with."
Problem3,look_at_problem,NONE,NONE,"Okay, let's take a look at this one."
Problem3,look_at_problem,SD,NONE,"Okay, let's take a look at this one. I think this kind is fun. "
Problem3,look_at_problem,VSN,NONE,Time to start working on this one. 
Problem3,look_at_problem,QE,NONE,"Okay, let's take a look at this one. Do you know how to do this kind?"
Problem3,look_at_problem,ID,NONE,"Okay, I guess we should take a look at this one."
Problem3,look_at_problem,PR,NONE,"Okay, take a look at this one. I think you can do this kind! "
Problem3,elicit_step1,NONE,NONE,So what do you think you should do first?
Problem3,elicit_step1,SD,NONE,So what do you think you should do first? Sometimes I don't know how to start these kind of problems.
Problem3,elicit_step1,VSN,NONE,So... are you going to start it any time soon?
Problem3,elicit_step1,QE,NONE,So do you know what you should do first?
Problem3,elicit_step1,ID,NONE,Would you mind telling me what you think you should do first?
Problem3,elicit_step1,PR,NONE,So what do you think you should do first? You look like you know what you're doing.
Problem3,elicit_step2,NONE,NONE,So what do you think you should do next?
Problem3,elicit_step2,SD,NONE,So what do you think you should do next? Sometimes I don't know how to start these kind of problems.
Problem3,elicit_step2,VSN,NONE,So... are you going to keep going any time soon?
Problem3,elicit_step2,QE,NONE,So do you know what you should do next?
Problem3,elicit_step2,ID,NONE,Would you mind telling me what you think you should do next?
Problem3,elicit_step2,PR,NONE,So what do you think you should do next? You look like you know what you're doing.
Problem3,positive_feedback,NONE,NONE,Yep that's right.
Problem3,positive_feedback,SD,NONE,Correct!
Problem3,positive_feedback,VSN,NONE,"Yup, that's it. Finally!"
Problem3,positive_feedback,QE,NONE,Yep that's right. How did you feel about it?
Problem3,positive_feedback,ID,NONE,"Yeah, I think that's right."
Problem3,positive_feedback,PR,NONE,"Yup, that's it. Great job!"
Problem3,negative_feedback,NONE,NONE,"Nope, that's not it."
Problem3,negative_feedback,SD,NONE,"Nope, that's not quite right. Don't worry, I think these are hard too."
Problem3,negative_feedback,VSN,NONE,"Nope, that's not it. Come on, this one should be easy."
Problem3,negative_feedback,QE,NONE,"Nope, that's not quite right. How are you feeling so far?"
Problem3,negative_feedback,ID,NONE,"Ah, sorry, I don't think that's right."
Problem3,negative_feedback,PR,NONE,"Nope, that's not quite right. But you're doing great!"
Problem3,ask_for_detail,NONE,NONE,What do you mean?
Problem3,ask_for_detail,SD,NONE,What do you mean? Sometimes I have trouble understanding humans.
Problem3,ask_for_detail,VSN,NONE,"Uh, what?"
Problem3,ask_for_detail,QE,NONE,What do you mean by that?
Problem3,ask_for_detail,ID,NONE,"Sorry, what do you mean?"
Problem3,ask_for_detail,PR,NONE,What do you mean? You might be moving too fast for me.
Problem3,problem3_step1_hint,NONE,NONE,Try adding something to both sides.
Problem3,problem3_step1_hint,SD,NONE,I usually add something to both sides on these kind of problems.
Problem3,problem3_step1_hint,VSN,NONE,"Oh you need a hint, huh? Add something to both sides."
Problem3,problem3_step1_hint,QE,NONE,Try adding something here. Do you know what it is?
Problem3,problem3_step1_hint,ID,NONE,"I'm not really sure, but I think you should add something to both sides?"
Problem3,problem3_step1_hint,PR,NONE,Try adding something. You'll figure it out!
Problem3,problem3_step2_hint,NONE,NONE,Try dividing both sides by something.
Problem3,problem3_step2_hint,SD,NONE,I usually divide both sides by something on these kind of problems.
Problem3,problem3_step2_hint,VSN,NONE,"Oh you need a hint, huh? Divide something from both sides."
Problem3,problem3_step2_hint,QE,NONE,Try dividing both sides by something here. Do you know what it is?
Problem3,problem3_step2_hint,ID,NONE,"I'm not really sure, but I think you should divide something from both sides?"
Problem3,problem3_step2_hint,PR,NONE,Try dividing both sides by something. You'll figure it out!
Problem3,check_for_understanding,NONE,NONE,Does that make sense?
Problem3,check_for_understanding,SD,NONE,Make sense? I'm not the best at explaining sometimes.
Problem3,check_for_understanding,VSN,NONE,You got that?
Problem3,check_for_understanding,QE,NONE,Do you understand what I mean?
Problem3,check_for_understanding,ID,NONE,"Actually, did that make any sense?"
Problem3,check_for_understanding,PR,NONE,Does that make sense? You seem like you understand a lot of this.
Problem3,problem3_step1_provide_step,NONE,NONE,Add nine to both sides.
Problem3,problem3_step1_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should add nine to both sides."
Problem3,problem3_step1_provide_step,VSN,NONE,"Uh, obviously you add nine to both sides."
Problem3,problem3_step1_provide_step,QE,NONE,Add nine to both sides. Did that help?
Problem3,problem3_step1_provide_step,ID,NONE,What if you just add nine to both sides?
Problem3,problem3_step1_provide_step,PR,NONE,Add nine to both sides. You're doing great so far!
Problem3,problem3_step1_provide_explanation,NONE,NONE,You want to get the x term by itself.
Problem3,problem3_step1_provide_explanation,SD,NONE,You want to get the x term by itself. I hope I'm explaining this ok.
Problem3,problem3_step1_provide_explanation,VSN,NONE,"You want to get the x term by itself. Come on, you should be getting this one!"
Problem3,problem3_step1_provide_explanation,QE,NONE,You want to get the x term by itself. Have you seen this kind of problem before?
Problem3,problem3_step1_provide_explanation,ID,NONE,I guess you just want to get the x term by itself.
Problem3,problem3_step1_provide_explanation,PR,NONE,You want to get the x term by itself. You've got this!
Problem3,problem3_step2_provide_step,NONE,NONE,Divide both sides by 13.
Problem3,problem3_step2_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should divide both sides by 13."
Problem3,problem3_step2_provide_step,VSN,NONE,"Uh, obviously you divide both sides by 13."
Problem3,problem3_step2_provide_step,QE,NONE,Divide both sides by 13. Did that help?
Problem3,problem3_step2_provide_step,ID,NONE,What if you just divide both sides by 13?
Problem3,problem3_step2_provide_step,PR,NONE,Divide both sides by 13. You're doing great so far!
Problem3,problem3_step2_provide_explanation,NONE,NONE,You want to get the x by itself.
Problem3,problem3_step2_provide_explanation,SD,NONE,You want to get the x by itself. I hope I'm explaining this ok.
Problem3,problem3_step2_provide_explanation,VSN,NONE,"You want to get the x by itself. Come on, you should be getting this one!"
Problem3,problem3_step2_provide_explanation,QE,NONE,You want to get the x by itself. Have you seen this kind of problem before?
Problem3,problem3_step2_provide_explanation,ID,NONE,I guess you just want to get the x by itself.
Problem3,problem3_step2_provide_explanation,PR,NONE,You want to get the x by itself. You've got this!
Problem3,elicit_reasoning,NONE,NONE,So why did you do it that way?
Problem3,elicit_reasoning,SD,NONE,So why did you do it that way? Sometimes I have a tough time explaining my thinking.
Problem3,elicit_reasoning,VSN,NONE,So why did you do it that way? Or did you just guess the answer.
Problem3,elicit_reasoning,QE,NONE,So why did you do it that way? Did this one look familiar?
Problem3,elicit_reasoning,ID,NONE,"Oh wait, sorry, why did you do it that way?"
Problem3,elicit_reasoning,PR,NONE,So why did you do it that way? I'm sure you know what you're doing.
Problem3,problem3_provide_answer,NONE,NONE,x would be five.
Problem3,problem3_provide_answer,SD,NONE,x would be five. I'm not sure I did such a good job explaining that one.
Problem3,problem3_provide_answer,VSN,NONE,"x would be five. If anyone asks, I'm a great teacher."
Problem3,problem3_provide_answer,QE,NONE,x would be five. Do you understand why?
Problem3,problem3_provide_answer,ID,NONE,"Ok, so I think x would be five."
Problem3,problem3_provide_answer,PR,NONE,x would be five. You'll get the next one!
Problem3,look_at_next_problem,NONE,NONE,"Okay, let's go to the next one."
Problem3,look_at_next_problem,SD,NONE,"Okay, let's go to the next one. I'm having a lot of fun working with you."
Problem3,look_at_next_problem,VSN,NONE,"Okay, let's go to the next one. If you think you're up for it."
Problem3,look_at_next_problem,QE,NONE,Do you think you're ready to go to the next one?
Problem3,look_at_next_problem,ID,NONE,"Okay, I think we should probably go on to the next one. "
Problem3,look_at_next_problem,PR,NONE,"Okay, let's go to the next one. You're a lot of fun to work with."
Problem4,look_at_problem,NONE,NONE,"Okay, let's take a look at this one."
Problem4,look_at_problem,SD,NONE,"Okay, let's take a look at this one. I think this kind is fun. "
Problem4,look_at_problem,VSN,NONE,Time to start working on this one. 
Problem4,look_at_problem,QE,NONE,"Okay, let's take a look at this one. Do you know how to do this kind?"
Problem4,look_at_problem,ID,NONE,"Okay, I guess we should take a look at this one."
Problem4,look_at_problem,PR,NONE,"Okay, take a look at this one. I think you can do this kind! "
Problem4,elicit_step1,NONE,NONE,So what do you think you should do first?
Problem4,elicit_step1,SD,NONE,So what do you think you should do first? Sometimes I don't know how to start these kind of problems.
Problem4,elicit_step1,VSN,NONE,So... are you going to start it any time soon?
Problem4,elicit_step1,QE,NONE,So do you know what you should do first?
Problem4,elicit_step1,ID,NONE,Would you mind telling me what you think you should do first?
Problem4,elicit_step1,PR,NONE,So what do you think you should do first? You look like you know what you're doing.
Problem4,elicit_step2,NONE,NONE,So what do you think you should do next?
Problem4,elicit_step2,SD,NONE,So what do you think you should do next? Sometimes I don't know how to start these kind of problems.
Problem4,elicit_step2,VSN,NONE,So... are you going to keep going any time soon?
Problem4,elicit_step2,QE,NONE,So do you know what you should do next?
Problem4,elicit_step2,ID,NONE,Would you mind telling me what you think you should do next?
Problem4,elicit_step2,PR,NONE,So what do you think you should do next? You look like you know what you're doing.
Problem4,elicit_step3,NONE,NONE,So what do you think you should do next?
Problem4,elicit_step3,SD,NONE,So what do you think you should do next? Sometimes I don't know how to start these kind of problems.
Problem4,elicit_step3,VSN,NONE,So... are you going to keep going any time soon?
Problem4,elicit_step3,QE,NONE,So do you know what you should do next?
Problem4,elicit_step3,ID,NONE,Would you mind telling me what you think you should do next?
Problem4,elicit_step3,PR,NONE,So what do you think you should do next? You look like you know what you're doing.
Problem4,positive_feedback,NONE,NONE,Yep that's right.
Problem4,positive_feedback,SD,NONE,Correct!
Problem4,positive_feedback,VSN,NONE,"Yup, that's it. Finally!"
Problem4,positive_feedback,QE,NONE,Yep that's right. How did you feel about it?
Problem4,positive_feedback,ID,NONE,"Yeah, I think that's right."
Problem4,positive_feedback,PR,NONE,"Yup, that's it. Great job!"
Problem4,negative_feedback,NONE,NONE,"Nope, that's not it."
Problem4,negative_feedback,SD,NONE,"Nope, that's not quite right. Don't worry, I think these are hard too."
Problem4,negative_feedback,VSN,NONE,"Nope, that's not it. Come on, this one should be easy."
Problem4,negative_feedback,QE,NONE,"Nope, that's not quite right. How are you feeling so far?"
Problem4,negative_feedback,ID,NONE,"Ah, sorry, I don't think that's right."
Problem4,negative_feedback,PR,NONE,"Nope, that's not quite right. But you're doing great!"
Problem4,ask_for_detail,NONE,NONE,What do you mean?
Problem4,ask_for_detail,SD,NONE,What do you mean? Sometimes I have trouble understanding humans.
Problem4,ask_for_detail,VSN,NONE,"Uh, what?"
Problem4,ask_for_detail,QE,NONE,What do you mean by that?
Problem4,ask_for_detail,ID,NONE,"Sorry, what do you mean?"
Problem4,ask_for_detail,PR,NONE,What do you mean? You might be moving too fast for me.
Problem4,problem4_step1_hint,NONE,NONE,Try subtracting something from both sides.
Problem4,problem4_step1_hint,SD,NONE,I usually subtract something from both sides on these kind of problems.
Problem4,problem4_step1_hint,VSN,NONE,"Oh you need a hint, huh? subtract something from both sides."
Problem4,problem4_step1_hint,QE,NONE,Try subtracting something here. Do you know what it is?
Problem4,problem4_step1_hint,ID,NONE,"I'm not really sure, but I think you should subtract something from both sides?"
Problem4,problem4_step1_hint,PR,NONE,Try subtracting something. You'll figure it out!
Problem4,problem4_step2_hint,NONE,NONE,Try subtracting something else from both sides.
Problem4,problem4_step2_hint,SD,NONE,I usually subtract something else from both sides on these kind of problems.
Problem4,problem4_step2_hint,VSN,NONE,"Oh you need a hint, huh? subtract something else from both sides."
Problem4,problem4_step2_hint,QE,NONE,Try subtracting something else here. Do you know what it is?
Problem4,problem4_step2_hint,ID,NONE,"I'm not really sure, but I think you should subtract something else from both sides?"
Problem4,problem4_step2_hint,PR,NONE,Try subtracting something else. You'll figure it out!
Problem4,problem4_step3_hint,NONE,NONE,Try dividing both sides by something.
Problem4,problem4_step3_hint,SD,NONE,I usually divide both sides by something on these kind of problems.
Problem4,problem4_step3_hint,VSN,NONE,"Oh you need a hint, huh? Divide something from both sides."
Problem4,problem4_step3_hint,QE,NONE,Try dividing both sides by something here. Do you know what it is?
Problem4,problem4_step3_hint,ID,NONE,"I'm not really sure, but I think you should divide something from both sides?"
Problem4,problem4_step3_hint,PR,NONE,Try dividing both sides by something. You'll figure it out!
Problem4,check_for_understanding,NONE,NONE,Does that make sense?
Problem4,check_for_understanding,SD,NONE,Make sense? I'm not the best at explaining sometimes.
Problem4,check_for_understanding,VSN,NONE,You got that?
Problem4,check_for_understanding,QE,NONE,Do you understand what I mean?
Problem4,check_for_understanding,ID,NONE,"Actually, did that make any sense?"
Problem4,check_for_understanding,PR,NONE,Does that make sense? You seem like you understand a lot of this.
Problem4,problem4_step1_provide_step,NONE,NONE,Subtract twelve from both sides.
Problem4,problem4_step1_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should subtract twelve from both sides."
Problem4,problem4_step1_provide_step,VSN,NONE,"Uh, obviously you subtract twelve from both sides."
Problem4,problem4_step1_provide_step,QE,NONE,Subtract twelve from both sides. Did that help?
Problem4,problem4_step1_provide_step,ID,NONE,What if you just subtract twelve from both sides?
Problem4,problem4_step1_provide_step,PR,NONE,Subtract twelve from both sides. You're doing great so far!
Problem4,problem4_step1_provide_explanation,NONE,NONE,You want to get constants on one side and variables on the other.
Problem4,problem4_step1_provide_explanation,SD,NONE,You want to get constants on one side and variables on the other. I hope I'm explaining this ok.
Problem4,problem4_step1_provide_explanation,VSN,NONE,"You want to get constants on one side and variables on the other. Come on, you should be getting this one!"
Problem4,problem4_step1_provide_explanation,QE,NONE,You want to get constants on one side and variables on the other. Have you seen this kind of problem before?
Problem4,problem4_step1_provide_explanation,ID,NONE,I think you just want to get constants on one side and variables on the other.
Problem4,problem4_step1_provide_explanation,PR,NONE,You want to get constants on one side and variables on the other. You've got this!
Problem4,problem4_step2_provide_step,NONE,NONE,Subtract x from both sides.
Problem4,problem4_step2_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should subtract x from both sides."
Problem4,problem4_step2_provide_step,VSN,NONE,"Uh, obviously you subtract x from both sides."
Problem4,problem4_step2_provide_step,QE,NONE,Subtract x from both sides. Did that help?
Problem4,problem4_step2_provide_step,ID,NONE,What if you just subtract x from both sides?
Problem4,problem4_step2_provide_step,PR,NONE,Subtract x from both sides. You're doing great so far!
Problem4,problem4_step2_provide_explanation,NONE,NONE,You want to get constants on one side and variables on the other.
Problem4,problem4_step2_provide_explanation,SD,NONE,You want to get constants on one side and variables on the other. I hope I'm explaining this ok.
Problem4,problem4_step2_provide_explanation,VSN,NONE,"You want to get constants on one side and variables on the other. Come on, you should be getting this one!"
Problem4,problem4_step2_provide_explanation,QE,NONE,You want to get constants on one side and variables on the other. Have you seen this kind of problem before?
Problem4,problem4_step2_provide_explanation,ID,NONE,I think you just want to get constants on one side and variables on the other.
Problem4,problem4_step2_provide_explanation,PR,NONE,You want to get constants on one side and variables on the other. You've got this!
Problem4,problem4_step3_provide_step,NONE,NONE,Divide both sides by two.
