Phase,Task_intention,Social_strategy,SSML,Sentence_text
Problem1,task_regulation,SD,NONE,"Sometimes I need a break from math too, but let's get back on track."
Problem1,task_regulation,VSN,NONE,Even Algebra is more interesting than that. Let's get back on track.
Problem1,task_regulation,QE,NONE,Let's get back on track. Do you feel ready?
Problem1,task_regulation,ID,NONE,"Sorry, I think we should probably get back on track."
Problem1,task_regulation,PR,NONE,You're a lot of fun to talk to! But we should get back on track.
Problem1,task_regulation,RSE,NONE,We always have such good conversations. But we should really get back to the math.
Problem1,acknowledge,NONE,NONE,Yeah
Problem1,partial_correct,NONE,NONE,Close!
Problem1,partial_correct,SD,NONE,Almost! I think these are hard too.
Problem1,partial_correct,VSN,NONE,"Close, but no cigar."
Problem1,partial_correct,QE,NONE,Close! What do you think you're missing?
Problem1,partial_correct,ID,NONE,"Sorry, I think that's almost right, but not quite it."
Problem1,partial_correct,PR,NONE,Close! You're getting there!
Problem1,next_state_prompt,NONE,NONE,And what would that get you?
Problem1,next_state_prompt,SD,NONE,And what would that get you? I always forget to write out these steps too.
Problem1,next_state_prompt,VSN,NONE,And so what do you get? Did you fall asleep?
Problem1,next_state_prompt,ID,NONE,And what would that get you? I think you're supposed to type out the next form of the problem.
Problem1,next_state_prompt,PR,NONE,And what would that get you? You're almost there!
Problem1,repair,NONE,NONE,I'm sorry.
Problem1,repair,SD,NONE,I'm sorry. I'm slow sometimes.
Problem1,repair,ID,NONE,"Oh, I'm sorry. I think I keep interrupting you."
Problem1,repair,PR,NONE,I'm sorry for being slow. You're just going really fast!
Problem1,repair,RSE,NONE,I'm sorry I keep interrupting you.
Problem1,restart,NONE,NONE,Let's start this one over.
Problem1,restart,SD,NONE,Let's start this one over. I think this kind is hard too.
Problem1,restart,VSN,NONE,Looks like we should start this one over. You seem to be having some trouble.
Problem1,restart,QE,NONE,Let's start this one over. Are you okay with that?
Problem1,restart,ID,NONE,I think we should start this one over.
Problem1,restart,PR,NONE,"Let's start this one over. You're doing great, though!"
Problem1,restart,RSE,NONE,Let's start this one over. Remember this is just like the other ones.
Problem1,check_hint,NONE,NONE,What do you think it should be?
Problem1,check_hint,SD,NONE,What do you think it is? I hope my hint was helpful.
Problem1,check_hint,VSN,NONE,"What do you think it should be? You don't want me to give you the answer, do you?"
Problem1,check_hint,PR,NONE,What do you think it should be? You've almost got it.
Problem1,check_interface,NONE,NONE,Make sure you fill out all the boxes and click add step.
Problem1,check_interface,SD,NONE,Make sure you filled out all the boxes and clicked add step. Sometimes I forget one too.
Problem1,check_interface,VSN,NONE,"Did you forget to fill out all of the boxes? Come on, you're better than that."
Problem1,check_interface,ID,NONE,I think you actually forgot to fill out the boxes for this step.
Problem1,check_interface,RSE,NONE,Do you have all of the boxes filled out for this step? Remember how you did it last time!
Problem1,variable,NONE,NONE,"x is called a variable. It could be any number, and you need to find out what it is."
Problem1,coefficient,NONE,NONE,20 x means 20 times x. 20 is called the coefficient. It means there's 20 exes.
Problem1,neg_x,NONE,NONE,"If there's a negative in front of the x, what is the coefficient of x?"
Problem1,fraction,NONE,NONE,How do we get rid of that fraction?
Problem1,one_step,NONE,NONE,Try doing one step at a time.
Problem1,one_step,SD,NONE,Try doing one step at a time. I can't keep up if you go too fast.
Problem1,one_step,VSN,NONE,You can't just skip to the end! Just do one step first.
Problem1,one_step,QE,NONE,Try doing one step at a time. Does that make sense?
Problem1,one_step,ID,NONE,I think you're skipping a few steps. You should probably just do one step first.
Problem1,one_step,PR,NONE,Try doing one step at a time. I know you can do it!
Problem1,check_left_side,NONE,NONE,What's on the left side?
Problem1,check_left_side,SD,NONE,What's on the left side? Sometimes I get these mixed up.
Problem1,check_left_side,PR,NONE,What's on the left side? You got this!
Problem1,check_right_side,NONE,NONE,What's on the right side?
Problem1,check_right_side,SD,NONE,What's on the right side? I feel like these can be tricky.
Problem1,check_right_side,PR,NONE,What's on the right side? You're doing great!
Problem1,elicit_step1,NONE,NONE,So what do you think you should do first?
Problem1,elicit_step1,SD,NONE,So what do you think you should do first? Sometimes I don't know how to start these kind of problems.
Problem1,elicit_step1,VSN,NONE,So... are you going to start it any time soon?
Problem1,elicit_step1,ID,NONE,I guess you should try telling me what you think you should do first.
Problem1,elicit_step1,PR,NONE,So what do you think you should do first? You look like you know what you're doing.
Problem1,elicit_step1,RSE,NONE,So what do you think you should do first? This is pretty similar to something we've done before.
Problem1,positive_feedback,NONE,NONE,Yep that's right.
Problem1,positive_feedback,SD,NONE,Correct! I'm such a good teacher.
Problem1,positive_feedback,VSN,NONE,"Yup, that's it. Finally!"
Problem1,positive_feedback,QE,NONE,Yep that's right. Do you feel good about it?
Problem1,positive_feedback,ID,NONE,"Yeah, I think that's right."
Problem1,positive_feedback,PR,NONE,"Yup, that's it. Great job!"
Problem1,negative_feedback,NONE,NONE,"No, that's not it."
Problem1,negative_feedback,SD,NONE,"Nope, that's not right. Don't worry, I think these are hard too."
Problem1,negative_feedback,VSN,NONE,"Nope, that's not it. Come on, this one should be easy."
Problem1,negative_feedback,QE,NONE,"Nope, that's not quite right. You feel ok trying that again?"
Problem1,negative_feedback,ID,NONE,"No, sorry, I don't think that's right."
Problem1,negative_feedback,PR,NONE,"Nope, that's not quite right, but you're doing great!"
Problem1,ask_for_detail,NONE,NONE,What do you mean?
Problem1,ask_for_detail,SD,NONE,What do you mean? Sometimes I have trouble understanding humans.
Problem1,ask_for_detail,VSN,NONE,"Uh, what?"
Problem1,ask_for_detail,ID,NONE,"Sorry, what do you mean?"
Problem1,ask_for_detail,PR,NONE,What do you mean? You might be moving too fast for me.
Problem1,ask_for_detail,RSE,NONE,"You usually make a lot of sense, but I didn't quite understand that."
Problem1,problem1_step1_hint,NONE,NONE,Try adding something to both sides.
Problem1,problem1_step1_hint,SD,NONE,I usually add something to both sides on these kind of problems.
Problem1,problem1_step1_hint,VSN,NONE,"Oh you need a hint, huh? Add something to both sides."
Problem1,problem1_step1_hint,QE,NONE,Try adding something here. Do you know what it is?
Problem1,problem1_step1_hint,ID,NONE,"I'm not really sure, but I think you should add something to both sides?"
Problem1,problem1_step1_hint,PR,NONE,Try adding something. You'll figure it out!
Problem1,problem1_step1_hint,RSE,NONE,Try adding something. Remember that from last time?
Problem1,check_for_understanding,NONE,NONE,Does that make sense?
Problem1,check_for_understanding,SD,NONE,Make sense? I'm not the best at explaining sometimes.
Problem1,check_for_understanding,VSN,NONE,You got that?
Problem1,check_for_understanding,QE,NONE,Do you understand what I mean?
Problem1,check_for_understanding,ID,NONE,"Actually, did that make any sense?"
Problem1,check_for_understanding,PR,NONE,Does that make sense? You seem like you understand a lot of this.
Problem1,problem1_step1_provide_step,NONE,NONE,Add six to both sides.
Problem1,problem1_step1_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should add six to both sides."
Problem1,problem1_step1_provide_step,VSN,NONE,"Uh, obviously you add six to both sides."
Problem1,problem1_step1_provide_step,QE,NONE,Add six to both sides. Did that help?
Problem1,problem1_step1_provide_step,ID,NONE,What if you just add six to both sides?
Problem1,problem1_step1_provide_step,PR,NONE,Add six to both sides. You're doing great so far!
Problem1,problem1_step1_provide_explanation,NONE,NONE,You want to get the x by itself.
Problem1,problem1_step1_provide_explanation,SD,NONE,You want to get the x by itself. I hope I'm explaining this ok.
Problem1,problem1_step1_provide_explanation,VSN,NONE,"You want to get the x by itself. Come on, you should be getting this one!"
Problem1,problem1_step1_provide_explanation,QE,NONE,You want to get the x by itself. Have you seen this kind of problem before?
Problem1,problem1_step1_provide_explanation,ID,NONE,I guess you just want to get the x by itself.
Problem1,problem1_step1_provide_explanation,PR,NONE,You want to get the x by itself. You've got this!
Problem1,elicit_reasoning,NONE,NONE,So why did you do it that way?
Problem1,elicit_reasoning,SD,NONE,So why did you do it that way? Sometimes I have a tough time explaining my thinking.
Problem1,elicit_reasoning,VSN,NONE,So why did you do it that way? Or did you just guess the answer.
Problem1,elicit_reasoning,ID,NONE,"So why did you do it that way? I think I got it, but I'm not sure."
Problem1,elicit_reasoning,PR,NONE,So why did you do it that way? I'm sure you know what you're doing.
Problem1,problem1_problem1_provide_answer,NONE,NONE,x would be nineteen.
Problem1,problem1_problem1_provide_answer,SD,NONE,x would be nineteen. I'm not sure I did such a good job explaining that one.
Problem1,problem1_problem1_provide_answer,VSN,NONE,"x would be nineteen. If anyone asks, I'm a great teacher."
Problem1,problem1_problem1_provide_answer,QE,NONE,x would be nineteen. Do you understand why?
Problem1,problem1_problem1_provide_answer,ID,NONE,"Ok, so I think x would be nineteen."
Problem1,problem1_problem1_provide_answer,PR,NONE,x would be nineteen. You'll get the next one!
Problem1,look_at_next_problem,NONE,NONE,"Okay, let's go to the next one."
Problem1,look_at_next_problem,SD,NONE,"Okay, let's go to the next one. I'm having a lot of fun working with you."
Problem1,look_at_next_problem,VSN,NONE,"Okay, let's go to the next one. If you think you're up for it."
Problem1,look_at_next_problem,QE,NONE,Do you think you're ready to go to the next one?
Problem1,look_at_next_problem,ID,NONE,"Okay, I think we should probably go on to the next one. "
Problem1,look_at_next_problem,PR,NONE,"Okay, let's go to the next one. You're a lot of fun to work with."
Problem2,look_at_problem,NONE,NONE,"Okay, let's take a look at this one."
Problem2,look_at_problem,SD,NONE,"Okay, let's take a look at this one. I think this kind is fun. "
Problem2,look_at_problem,VSN,NONE,Time to start working on this one. If you think you're ready.
Problem2,look_at_problem,QE,NONE,"Okay, let's take a look at this one. Do you know how to do this kind?"
Problem2,look_at_problem,ID,NONE,"Okay, I guess we should take a look at this one."
Problem2,look_at_problem,PR,NONE,"Okay, take a look at this one. I think you can do this kind! "
Problem2,look_at_problem,RSE,NONE,"Okay, take a look at this one. This reminds me of one of the other ones we worked on!"
Problem2,task_regulation,NONE,NONE,Let's get back on track.
Problem2,task_regulation,SD,NONE,"Sometimes I need a break from math too, but let's get back on track."
Problem2,task_regulation,VSN,NONE,Even Algebra is more interesting than that. Let's get back on track.
Problem2,task_regulation,QE,NONE,Let's get back on track. Do you feel ready?
Problem2,task_regulation,ID,NONE,"Sorry, I think we should probably get back on track."
Problem2,task_regulation,PR,NONE,You're a lot of fun to talk to! But we should get back on track.
Problem2,task_regulation,RSE,NONE,We always have such good conversations. But we should really get back to the math.
Problem2,acknowledge,NONE,NONE,Yeah
Problem2,partial_correct,NONE,NONE,Close!
Problem2,partial_correct,SD,NONE,Almost! I think these are hard too.
Problem2,partial_correct,VSN,NONE,"Close, but no cigar."
Problem2,partial_correct,QE,NONE,Close! What do you think you're missing?
Problem2,partial_correct,ID,NONE,"Sorry, I think that's almost right, but not quite it."
Problem2,partial_correct,PR,NONE,Close! You're getting there!
Problem2,next_state_prompt,NONE,NONE,And what would that get you?
Problem2,next_state_prompt,SD,NONE,And what would that get you? I always forget to write out these steps too.
Problem2,next_state_prompt,VSN,NONE,And so what do you get? Did you fall asleep?
Problem2,next_state_prompt,ID,NONE,And what would that get you? I think you're supposed to type out the next form of the problem.
Problem2,next_state_prompt,PR,NONE,And what would that get you? You're almost there!
Problem2,repair,NONE,NONE,I'm sorry.
Problem2,repair,SD,NONE,I'm sorry. I'm slow sometimes.
Problem2,repair,ID,NONE,"Oh, I'm sorry. I think I keep interrupting you."
Problem2,repair,PR,NONE,I'm sorry for being slow. You're just going really fast!
Problem2,repair,RSE,NONE,I'm sorry I keep interrupting you.
Problem2,restart,NONE,NONE,Let's start this one over.
Problem2,restart,SD,NONE,Let's start this one over. I think this kind is hard too.
Problem2,restart,VSN,NONE,Looks like we should start this one over. You seem to be having some trouble.
Problem2,restart,QE,NONE,Let's start this one over. Are you okay with that?
Problem2,restart,ID,NONE,I think we should start this one over.
Problem2,restart,PR,NONE,"Let's start this one over. You're doing great, though!"
Problem2,restart,RSE,NONE,Let's start this one over. Remember this is just like the other ones.
Problem2,check_hint,NONE,NONE,What do you think it should be?
Problem2,check_hint,SD,NONE,What do you think it is? I hope my hint was helpful.
Problem2,check_hint,VSN,NONE,"What do you think it should be? You don't want me to give you the answer, do you?"
Problem2,check_hint,PR,NONE,What do you think it should be? You've almost got it.
Problem2,check_interface,NONE,NONE,Make sure you fill out all the boxes and click add step.
Problem2,check_interface,SD,NONE,Make sure you filled out all the boxes and clicked add step. Sometimes I forget one too.
Problem2,check_interface,VSN,NONE,"Did you forget to fill out all of the boxes? Come on, you're better than that."
Problem2,check_interface,ID,NONE,I think you actually forgot to fill out the boxes for this step.
Problem2,check_interface,RSE,NONE,Do you have all of the boxes filled out for this step? Remember how you did it last time!
Problem2,variable,NONE,NONE,"x is called a variable. It could be any number, and you need to find out what it is."
Problem2,coefficient,NONE,NONE,20 x means 20 times x. 20 is called the coefficient. It means there's 20 exes.
Problem2,neg_x,NONE,NONE,"If there's a negative in front of the x, what is the coefficient of x?"
Problem2,fraction,NONE,NONE,How do we get rid of that fraction?
Problem2,one_step,NONE,NONE,Try doing one step at a time.
Problem2,one_step,SD,NONE,Try doing one step at a time. I can't keep up if you go too fast.
Problem2,one_step,VSN,NONE,You can't just skip to the end! Just do one step first.
Problem2,one_step,QE,NONE,Try doing one step at a time. Does that make sense?
Problem2,one_step,ID,NONE,I think you're skipping a few steps. You should probably just do one step first.
Problem2,one_step,PR,NONE,Try doing one step at a time. I know you can do it!
Problem2,check_left_side,NONE,NONE,What's on the left side?
Problem2,check_left_side,SD,NONE,What's on the left side? Sometimes I get these mixed up.
Problem2,check_left_side,PR,NONE,What's on the left side? You got this!
Problem2,check_right_side,NONE,NONE,What's on the right side?
Problem2,check_right_side,SD,NONE,What's on the right side? I feel like these can be tricky.
Problem2,check_right_side,PR,NONE,What's on the right side? You're doing great!
Problem2,elicit_step1,NONE,NONE,So how would you start this one?
Problem2,elicit_step1,SD,NONE,So how would you start this one? Sometimes I don't know how to start these kind of problems.
Problem2,elicit_step1,VSN,NONE,So... are you going to start it any time soon?
Problem2,elicit_step1,ID,NONE,So how do you think you would start this one?
Problem2,elicit_step1,PR,NONE,So how would you start this one? You look like you know what you're doing.
Problem2,elicit_step1,RSE,NONE,So how would you start this one? This is pretty similar to something we've done before.
Problem2,positive_feedback,NONE,NONE,Correct!
Problem2,positive_feedback,SD,NONE,Correct! I'm such a good teacher.
Problem2,positive_feedback,VSN,NONE,"Yup, that's it. Finally!"
Problem2,positive_feedback,QE,NONE,Yep that's right. Do you feel good about it?
Problem2,positive_feedback,ID,NONE,"Yeah, I think that's right."
Problem2,positive_feedback,PR,NONE,"Yup, that's it. Great job!"
Problem2,negative_feedback,NONE,NONE,"Nope, that's not it."
Problem2,negative_feedback,SD,NONE,"Nope, that's not quite right. Don't worry, I think these are hard too."
Problem2,negative_feedback,VSN,NONE,"Nope, that's not it. Come on, this one should be easy."
Problem2,negative_feedback,QE,NONE,"Nope, that's not quite right. You feel ok trying that again?"
Problem2,negative_feedback,ID,NONE,"I'm not sure, but I don't think that's right."
Problem2,negative_feedback,PR,NONE,"Nope, that's not quite right. But you're doing great!"
Problem2,ask_for_detail,NONE,NONE,What do you mean?
Problem2,ask_for_detail,SD,NONE,What do you mean? Sometimes I have trouble understanding humans.
Problem2,ask_for_detail,VSN,NONE,"Uh, what?"
Problem2,ask_for_detail,ID,NONE,"Sorry, what do you mean?"
Problem2,ask_for_detail,PR,NONE,What do you mean? You might be moving too fast for me.
Problem2,ask_for_detail,RSE,NONE,"You usually make a lot of sense, but I didn't quite understand that."
Problem2,problem2_step1_hint,NONE,NONE,Try adding something to both sides.
Problem2,problem2_step1_hint,SD,NONE,I usually add something to both sides on these kind of problems.
Problem2,problem2_step1_hint,VSN,NONE,"Oh you need a hint, huh? Add something to both sides."
Problem2,problem2_step1_hint,QE,NONE,Try adding something here. Do you know what it is?
Problem2,problem2_step1_hint,ID,NONE,"I'm not really sure, but I think you should add something to both sides?"
Problem2,problem2_step1_hint,PR,NONE,Try adding something. You'll figure it out!
Problem2,problem2_step1_hint,RSE,NONE,Try adding something. Remember that from last time?
Problem2,check_for_understanding,NONE,NONE,Does that make sense?
Problem2,check_for_understanding,SD,NONE,Make sense? I'm not the best at explaining sometimes.
Problem2,check_for_understanding,VSN,NONE,You got that?
Problem2,check_for_understanding,QE,NONE,Do you understand what I mean?
Problem2,check_for_understanding,ID,NONE,"Actually, did that make any sense?"
Problem2,check_for_understanding,PR,NONE,Does that make sense? You seem like you understand a lot of this.
Problem2,problem2_step1_provide_step,NONE,NONE,Add six to both sides.
Problem2,problem2_step1_provide_step,SD,NONE,"Oh, I know I'm not the best at explaining things sometimes. You should add six to both sides."
Problem2,problem2_step1_provide_step,VSN,NONE,"Uh, obviously you add six to both sides."
Problem2,problem2_step1_provide_step,QE,NONE,Add six to both sides. Did that help?
Problem2,problem2_step1_provide_step,ID,NONE,What if you just add six to both sides?
Problem2,problem2_step1_provide_step,PR,NONE,Add six to both sides. You're doing great so far!
Problem2,problem2_step1_provide_explanation,NONE,NONE,You want to get the x by itself.
Problem2,problem2_step1_provide_explanation,SD,NONE,You want to get the x by itself. I hope I'm explaining this ok.
Problem2,problem2_step1_provide_explanation,VSN,NONE,"You want to get the x by itself. Come on, you should be getting this one!"
Problem2,problem2_step1_provide_explanation,QE,NONE,You want to get the x by itself. Have you seen this kind of problem before?
Problem2,problem2_step1_provide_explanation,ID,NONE,I guess you just want to get the x by itself.
Problem2,problem2_step1_provide_explanation,PR,NONE,You want to get the x by itself. You've got this!
Problem2,elicit_reasoning,NONE,NONE,So why did you do it that way?
Problem2,elicit_reasoning,SD,NONE,So why did you do it that way? Sometimes I have a tough time explaining my thinking.
Problem2,elicit_reasoning,VSN,NONE,So why did you do it that way? Or did you just guess the answer.
Problem2,elicit_reasoning,ID,NONE,"So why did you do it that way? I think I got it, but I'm not sure."
Problem2,elicit_reasoning,PR,NONE,So why did you do it that way? I'm sure you know what you're doing.
Problem2,problem2_problem2_provide_answer,NONE,NONE,x would be nineteen.
Problem2,problem2_problem2_provide_answer,SD,NONE,x would be nineteen. I'm not sure I did such a good job explaining that one.
Problem2,problem2_problem2_provide_answer,VSN,NONE,"x would be nineteen. If anyone asks, I'm a great teacher."
Problem2,problem2_problem2_provide_answer,QE,NONE,x would be nineteen. Do you understand why?
Problem2,problem2_problem2_provide_answer,ID,NONE,"Ok, so I think x would be nineteen."
Problem2,problem2_problem2_provide_answer,PR,NONE,x would be nineteen. You'll get the next one!
Problem2,look_at_next_problem,NONE,NONE,"Okay, let's go to the next one."
Problem2,look_at_next_problem,SD,NONE,"Okay, let's go to the next one. I'm having a lot of fun working with you."
Problem2,look_at_next_problem,VSN,NONE,"Okay, let's go to the next one. If you think you're up for it."
Problem2,look_at_next_problem,QE,NONE,Do you think you're ready to go to the next one?
Problem2,look_at_next_problem,ID,NONE,"Okay, I think we should probably go on to the next one. "
Problem2,look_at_next_problem,PR,NONE,"Okay, let's go to the next one. You're a lot of fun to work with."
Problem3,look_at_problem,NONE,NONE,"Okay, let's take a look at this one."
Problem3,look_at_problem,SD,NONE,"Okay, let's take a look at this one. I think this kind is fun. "
Problem3,look_at_problem,VSN,NONE,Time to start working on this one. 
Problem3,look_at_problem,QE,NONE,"Okay, let's take a look at this one. Do you know how to do this kind?"
Problem3,look_at_problem,ID,NONE,"Okay, I guess we should take a look at this one."
Problem3,look_at_problem,PR,NONE,"Okay, take a look at this one. I think you can do this kind! "
Problem3,look_at_problem,RSE,NONE,"Okay, take a look at this one. This reminds me of one of the other ones we worked on!"
Problem3,task_regulation,NONE,NONE,Let's get back on track.
Problem3,task_regulation,SD,NONE,"Sometimes I need a break from math too, but let's get back on track."
Problem3,task_regulation,VSN,NONE,Even Algebra is more interesting than that. Let's get back on track.
Problem3,task_regulation,QE,NONE,Let's get back on track. Do you feel ready?
Problem3,task_regulation,ID,NONE,"Sorry, I think we should probably get back on track."
Problem3,task_regulation,PR,NONE,You're a lot of fun to talk to! But we should get back on track.
Problem3,task_regulation,RSE,NONE,We always have such good conversations. But we should really get back to the math.
Problem3,acknowledge,NONE,NONE,Yeah
Problem3,partial_correct,NONE,NONE,Close!
Problem3,partial_correct,SD,NONE,Almost! I think these are hard too.
Problem3,partial_correct,VSN,NONE,"Close, but no cigar."
Problem3,partial_correct,QE,NONE,Close! What do you think you're missing?
Problem3,partial_correct,ID,NONE,"Sorry, I think that's almost right, but not quite it."
Problem3,partial_correct,PR,NONE,Close! You're getting there!
Problem3,next_state_prompt,NONE,NONE,And what would that get you?
Problem3,next_state_prompt,SD,NONE,And what would that get you? I always forget to write out these steps too.
Problem3,next_state_prompt,VSN,NONE,And so what do you get? Did you fall asleep?
Problem3,next_state_prompt,ID,NONE,And what would that get you? I think you're supposed to type out the next form of the problem.
Problem3,next_state_prompt,PR,NONE,And what would that get you? You're almost there!
Problem3,repair,NONE,NONE,I'm sorry.
Problem3,repair,SD,NONE,I'm sorry. I'm slow sometimes.
Problem3,repair,ID,NONE,"Oh, I'm sorry. I think I keep interrupting you."
Problem3,repair,PR,NONE,I'm sorry for being slow. You're just going really fast!
Problem3,repair,RSE,NONE,I'm sorry I keep interrupting you.
Problem3,restart,NONE,NONE,Let's start this one over.
Problem3,restart,SD,NONE,Let's start this one over. I think this kind is hard too.
Problem3,restart,VSN,NONE,Looks like we should start this one over. You seem to be having some trouble.
Problem3,restart,QE,NONE,Let's start this one over. Are you okay with that?
Problem3,restart,ID,NONE,I think we should start this one over.
Problem3,restart,PR,NONE,"Let's start this one over. You're doing great, though!"
Problem3,restart,RSE,NONE,Let's start this one over. Remember this is just like the other ones.
Problem3,check_hint,NONE,NONE,What do you think it should be?
Problem3,check_hint,SD,NONE,What do you think it is? I hope my hint was helpful.
Problem3,check_hint,VSN,NONE,"What do you think it should be? You don't want me to give you the answer, do you?"
Problem3,check_hint,PR,NONE,What do you think it should be? You've almost got it.
Problem3,check_interface,NONE,NONE,Make sure you fill out all the boxes and click add step.
Problem3,check_interface,SD,NONE,Make sure you filled out all the boxes and clicked add step. Sometimes I forget one too.
Problem3,check_interface,VSN,NONE,"Did you forget to fill out all of the boxes? Come on, you're better than that."
Problem3,check_interface,ID,NONE,I think you actually forgot to fill out the boxes for this step.
Problem3,check_interface,RSE,NONE,Do you have all of the boxes filled out for this step? Remember how you did it last time!
Problem3,variable,NONE,NONE,"x is called a variable. It could be any number, and you need to find out what it is."
Problem3,coefficient,NONE,NONE,20 x means 20 times x. 20 is called the coefficient. It means there's 20 exes.
Problem3,neg_x,NONE,NONE,"If there's a negative in front of the x, what is the coefficient of x?"
Problem3,fraction,NONE,NONE,How do we get rid of that fraction?
Problem3,one_step,NONE,NONE,Try doing one step at a time.
Problem3,one_step,SD,NONE,Try doing one step at a time. I can't keep up if you go too fast.
Problem3,one_step,VSN,NONE,You can't just skip to the end! Just do one step first.
Problem3,one_step,QE,NONE,Try doing one step at a time. Does that make sense?
Problem3,one_step,ID,NONE,I think you're skipping a few steps. You should probably just do one step first.
Problem3,one_step,PR,NONE,Try doing one step at a time. I know you can do it!
Problem3,check_left_side,NONE,NONE,What's on the left side?
Problem3,check_left_side,SD,NONE,What's on the left side? Sometimes I get these mixed up.
Problem3,check_left_side,PR,NONE,What's on the left side? You got this!
Problem3,check_right_side,NONE,NONE,What's on the right side?
Problem3,check_right_side,SD,NONE,What's on the right side? I feel like these can be tricky.
Problem3,check_right_side,PR,NONE,What's on the right side? You're doing great!
Problem3,elicit_step1,NONE,NONE,So what do you think you should do first?
Problem3,elicit_step1,SD,NONE,So what do you think you should do first? Sometimes I don't know how to start these kind of problems.
Problem3,elicit_step1,VSN,NONE,So... are you going to start it any time soon?
Problem3,elicit_step1,ID,NONE,I guess you should try telling me what you think you should do first.
Problem3,elicit_step1,PR,NONE,So what do you think you should do first? You look like you know what you're doing.
Problem3,elicit_step1,RSE,NONE,So what do you think you should do first? This is pretty similar to something we've done before.
Problem3,positive_feedback,NONE,NONE,Yep that's right.
Problem3,positive_feedback,SD,NONE,Correct! I'm such a good teacher.
Problem3,positive_feedback,VSN,NONE,"Yup, that's it. Finally!"
Problem3,positive_feedback,QE,NONE,Yep that's right. Do you feel good about it?
Problem3,positive_feedback,ID,NONE,"Yeah, I think that's right."
Problem3,positive_feedback,PR,NONE,"Yup, that's it. Great job!"
Problem3,negative_feedback,NONE,NONE,"Nope, that's not it."
Problem3,negative_feedback,SD,NONE,"Nope, that's not quite right. Don't worry, I think these are hard too."
Problem3,negative_feedback,VSN,NONE,"Nope, that's not it. Come on, this one should be easy."
Problem3,negative_feedback,QE,NONE,"Nope, that's not quite right. You feel ok trying that again?"
Problem3,negative_feedback,ID,NONE,"I'm not sure, but I don't think that's right."
Problem3,negative_feedback,PR,NONE,"Nope, that's not quite right. But you're doing great!"
Problem3,ask_for_detail,NONE,NONE,What do you mean?
Problem3,ask_for_detail,SD,NONE,What do you mean? Sometimes I have trouble understanding humans.
Problem3,ask_for_detail,VSN,NONE,"Uh, what?"
Problem3,ask_for_detail,ID,NONE,"Sorry, what do you mean?"
Problem3,ask_for_detail,PR,NONE,What do you mean? You might be moving too fast for me.
Problem3,ask_for_detail,RSE,NONE,"You usually make a lot of sense, but I didn't quite understand that."
Problem3,problem3_step1_hint,NONE,NONE,Try dividing something from both sides.
Problem3,problem3_step1_hint,SD,NONE,I usually divide something from both sides on these kind of problems.
Problem3,problem3_step1_hint,VSN,NONE,"Oh you need a hint, huh? Divide something from both sides."
Problem3,problem3_step1_hint,QE,NONE,Try dividing something here. Do you know what it is?
